sample_id	criterion	criterion_label	cutoff_type	cutoff	method	hit_rate	ic50_hit_rate	hit_rate_difference_vs_ic50
TCGA-BF-A5EQ	min8_cov80	Min-8 + >=80% coverage	Top-N	50	Borda	0.0	0.0	0.0
TCGA-BF-A5EQ	min8_cov80	Min-8 + >=80% coverage	Top-percentile	1	Borda	0.0	0.0	0.0
TCGA-BF-A5EQ	min8_cov80	Min-8 + >=80% coverage	Top-percentile	5	Borda	0.0	0.0	0.0
TCGA-BF-A5EQ	min8_cov80	Min-8 + >=80% coverage	Top-percentile	10	Borda	0.0	0.0	0.0
TCGA-BF-A5EQ	min8_cov80	Min-8 + >=80% coverage	Top-percentile	20	Borda	0.0	0.0	0.0
TCGA-BF-A5ER	min8	Min-8 containment	Top-N	10	Borda	0.1	0.3	-0.19999999999999998
TCGA-BF-A5ER	min8	Min-8 containment	Top-N	20	Borda	0.15	0.3	-0.15
TCGA-BF-A5ER	min8	Min-8 containment	Top-N	50	Borda	0.23529411764705882	0.23529411764705882	0.0
TCGA-BF-A5ER	min8	Min-8 containment	Top-percentile	1	Borda	0.0	1.0	-1.0
TCGA-BF-A5ER	min8	Min-8 containment	Top-percentile	5	Borda	0.0	0.5	-0.5
TCGA-BF-A5ER	min8	Min-8 containment	Top-percentile	10	Borda	0.0	0.25	-0.25
TCGA-BF-A5ER	min8	Min-8 containment	Top-percentile	20	Borda	0.14285714285714285	0.2857142857142857	-0.14285714285714285
TCGA-BF-A5ER	min8_cov50	Min-8 + >=50% coverage	Top-N	10	Borda	0.1	0.2	-0.1
TCGA-BF-A5ER	min8_cov50	Min-8 + >=50% coverage	Top-N	20	Borda	0.1	0.15	-0.04999999999999999
